Peak Amplitude,Frequency (Hz),Time (s)
9336903.838847933,470,0.09154701232910156
9336903.838847933,3626,0.09154701232910156
1783002.270551705,1872,0.1814413070678711
1783002.270551705,2224,0.1814413070678711
2540665.528197675,1872,0.2714869976043701
2540665.528197675,2224,0.2714869976043701
3162757.4628102514,1870,0.3706092834472656
3162757.4628102514,2226,0.3706092834472656
2170705.240872327,1872,0.4605391025543213
2170705.240872327,2224,0.4605391025543213
2885778.6030838354,1872,0.5519535541534424
2885778.6030838354,2224,0.5519535541534424
5063180.726809086,1872,0.6515622138977051
5063180.726809086,2224,0.6515622138977051
3162639.7425123993,1872,0.7412660121917725
3162639.7425123993,2224,0.7412660121917725
3819719.9950575475,1872,0.8314189910888672
3819719.9950575475,2224,0.8314189910888672
5456404.311977477,1872,0.9216558933258057
5456404.311977477,2224,0.9216558933258057
4106276.0344872107,1872,1.0209145545959473
4106276.0344872107,2224,1.0209145545959473
5843055.9494574,1872,1.111158847808838
5843055.9494574,2224,1.111158847808838
4548023.846771638,1872,1.2008123397827148
4548023.846771638,2224,1.2008123397827148
4142249.7817590293,1872,1.3008599281311035
4142249.7817590293,2224,1.3008599281311035
6338173.489306477,1872,1.3905572891235352
6338173.489306477,2224,1.3905572891235352
6706039.017234776,1872,1.4805176258087158
6706039.017234776,2224,1.4805176258087158
5467358.551463329,1872,1.5706913471221924
5467358.551463329,2224,1.5706913471221924
6194516.394452085,1872,1.6713566780090332
6194516.394452085,2224,1.6713566780090332
4255940.952238467,1872,1.7605159282684326
4255940.952238467,2224,1.7605159282684326
4496718.551542412,1872,1.8515911102294922
4496718.551542412,2224,1.8515911102294922
2708524.9992319914,1872,1.9513449668884277
2708524.9992319914,2224,1.9513449668884277
3344049.266994991,1872,2.0413331985473633
3344049.266994991,2224,2.0413331985473633
2918934.0554612167,1872,2.131549119949341
2918934.0554612167,2224,2.131549119949341
2905540.8593596704,1872,2.2224769592285156
2905540.8593596704,2224,2.2224769592285156
3034558.2575683915,1872,2.3210222721099854
3034558.2575683915,2224,2.3210222721099854
1328830.8716769125,1872,2.4115607738494873
1328830.8716769125,2224,2.4115607738494873
888627.7026181215,1748,2.5013773441314697
888627.7026181215,2348,2.5013773441314697
1134042.7963639537,1730,2.6012609004974365
1134042.7963639537,2366,2.6012609004974365
338352.825692809,1720,2.6907055377960205
338352.825692809,2376,2.6907055377960205
230254.59941731516,1719,2.780924081802368
230254.59941731516,2377,2.780924081802368
925318.318525874,1707,2.870940685272217
925318.318525874,2389,2.870940685272217
3380541.54450568,1703,2.9715487957000732
3380541.54450568,2393,2.9715487957000732
2032305.260314827,1702,3.061035633087158
2032305.260314827,2394,3.061035633087158
5800961.408675704,1686,3.1516196727752686
5800961.408675704,2410,3.1516196727752686
7351072.788783914,1685,3.2506978511810303
7351072.788783914,2411,3.2506978511810303
3229917.822845249,1671,3.3421263694763184
3229917.822845249,2425,3.3421263694763184
1613019.736155646,1668,3.4300780296325684
1613019.736155646,2428,3.4300780296325684
594303.7897868756,1653,3.531254768371582
594303.7897868756,2443,3.531254768371582
1952555.8827313257,1643,3.6207685470581055
1952555.8827313257,2453,3.6207685470581055
4790465.439501783,1637,3.7111399173736572
4790465.439501783,2459,3.7111399173736572
2091925.4454659293,1622,3.8015758991241455
2091925.4454659293,2474,3.8015758991241455
2936960.606711925,1604,3.901458263397217
2936960.606711925,2492,3.901458263397217
1321698.2697419159,1593,3.991319417953491
1321698.2697419159,2503,3.991319417953491
3221003.5249714325,1592,4.0813939571380615
3221003.5249714325,2504,4.0813939571380615
3994086.843609345,1591,4.180700778961182
3994086.843609345,2505,4.180700778961182
4051450.3214999544,1591,4.271265268325806
4051450.3214999544,2505,4.271265268325806
4054190.749829203,1591,4.3611159324646
4054190.749829203,2505,4.3611159324646
2711871.340421389,1578,4.451820135116577
2711871.340421389,2518,4.451820135116577
1069738.7605276888,1534,4.5518858432769775
1069738.7605276888,2562,4.5518858432769775
3113021.680505991,1531,4.641149282455444
3113021.680505991,2565,4.641149282455444
2115296.7070810515,1503,4.730859279632568
2115296.7070810515,2593,4.730859279632568
2394462.814387448,1486,4.832012414932251
2394462.814387448,2610,4.832012414932251
4415760.039032321,1470,4.921053171157837
4415760.039032321,2626,4.921053171157837
3076552.050552587,1469,5.011431455612183
3076552.050552587,2627,5.011431455612183
3923419.991017141,1445,5.101287364959717
3923419.991017141,2651,5.101287364959717
5009364.99735632,1431,5.201524972915649
5009364.99735632,2665,5.201524972915649
7957874.464038485,1415,5.29137921333313
7957874.464038485,2681,5.29137921333313
10226938.611026019,1415,5.381413459777832
10226938.611026019,2681,5.381413459777832
10336820.270850696,1415,5.481037378311157
10336820.270850696,2681,5.481037378311157
5462462.327323276,1415,5.57075309753418
5462462.327323276,2681,5.57075309753418
2221216.610947612,1379,5.660902500152588
2221216.610947612,2717,5.660902500152588
8926561.463132557,1374,5.753658771514893
8926561.463132557,2722,5.753658771514893
5655370.416284232,1362,5.851360082626343
5655370.416284232,2734,5.851360082626343
6404892.9383865725,1360,5.941877365112305
6404892.9383865725,2736,5.941877365112305
6570021.359365516,1346,6.031831502914429
6570021.359365516,2750,6.031831502914429
7466572.031242596,1325,6.131296396255493
7466572.031242596,2771,6.131296396255493
13301093.443254394,1323,6.22105073928833
13301093.443254394,2773,6.22105073928833
